date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,close_location_pct,range_expansion_ratio,nr_count_10d,consolidation_days,prior_10d_run_pct,prior_20d_run_pct,distance_from_20d_high_pct,trend_linearity_20d,mb_quality,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-01-31,RVNL,MOMENTUM_BURST,476.3,53.93,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",16.84,3.2,476.3,16.8% on 3.2x volume,88.51,2.34,6,3,6.4,,7.15,0.2414,HIGH,AVOID,42.49,21.24,4,7,0.9207,385,81,-8.98,0.1,-9.08,-16.0,-0.14,-15.86,-15.38,0.49,-15.87,-20.37,-5.09,-15.28,-30.21,-11.31,-18.9,5.35,-17.13,5.35,-17.13,5.35,-28.2,False,False,True,True,False
2025-03-03,NH,MOMENTUM_BURST,1615.6,199.63,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",10.24,19.5,1615.6,10.2% on 19.5x volume,79.23,3.78,6,6,3.16,6.91,6.66,0.4421,HIGH,AVOID,9.36,7.45,2,131,0.4036,221,248,-3.45,0.82,-4.27,-2.25,4.76,-7.01,-2.01,3.41,-5.42,0.09,4.98,-4.89,4.43,10.02,-5.59,4.76,-6.38,4.76,-6.38,4.76,-6.38,False,False,True,False,False
2025-03-21,JWL,MOMENTUM_BURST,347.9,159.01,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",14.84,10.72,347.9,14.8% on 10.7x volume,70.64,3.19,6,6,2.2,-7.15,5.14,0.0388,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.93,1.23,3.7,6.41,-0.9,7.31,6.14,-0.29,6.43,6.97,-6.31,13.28,10.2,4.68,5.52,9.8,1.67,10.16,1.67,10.16,-10.61,False,False,True,True,True
2025-03-21,UNIONBANK,MOMENTUM_BURST,122.52,6.53,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.1,1.59,122.52,4.1% on 1.6x volume,87.17,0.98,6,8,3.18,2.83,1.36,0.1234,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.03,1.23,2.8,-1.89,-0.9,-0.99,2.99,-0.29,3.28,-3.75,-6.31,2.56,4.9,4.68,0.22,4.95,-2.18,4.95,-2.33,8.46,-8.16,False,False,True,False,True
2025-06-02,KARURVYSYA,MOMENTUM_BURST,239.66,49.69,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7.79,6.38,239.66,7.8% on 6.4x volume,90.71,3.13,6,9,2.07,4.18,2.07,0.5989,HIGH,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,-1.68,-0.26,-1.42,-3.37,0.78,-4.15,-1.06,2.56,-3.62,3.71,0.97,2.74,11.63,3.2,8.43,0.75,-4.87,0.75,-4.87,5.77,-4.87,False,False,False,False,False
2025-06-03,PRESTIGE,MOMENTUM_BURST,1584.6,19.06,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",5.58,3.42,1584.6,5.6% on 3.4x volume,87.78,1.2,6,7,2.32,5.58,2.68,0.8285,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-0.19,0.48,-0.67,8.2,1.75,6.45,4.99,3.01,1.98,6.95,0.57,6.38,3.31,3.26,0.05,9.33,-0.76,10.73,-0.76,10.73,-0.76,False,False,True,True,True
2025-06-03,CUB,MOMENTUM_BURST,202.28,11.04,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.09,2.7,202.28,4.1% on 2.7x volume,72.7,1.32,6,10,1.0,9.97,1.34,0.6946,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-2.23,0.48,-2.71,-0.55,1.75,-2.3,1.97,3.01,-1.04,-4.68,0.57,-5.25,13.96,3.26,10.7,0.85,-3.2,3.03,-3.2,3.03,-6.91,False,False,False,False,False
2025-01-31,RVNL,MOMENTUM_BURST,476.3,53.93,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",16.84,3.2,476.3,16.8% on 3.2x volume,88.51,2.34,6,3,6.4,,7.15,0.2414,HIGH,AVOID,42.49,21.24,4,7,0.9207,385,81,-8.98,0.1,-9.08,-16.0,-0.14,-15.86,-15.38,0.49,-15.87,-20.37,-5.09,-15.28,-30.21,-11.31,-18.9,5.35,-17.13,5.35,-17.13,5.35,-28.2,False,False,True,True,False
2025-03-03,NH,MOMENTUM_BURST,1615.6,199.63,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",10.24,19.5,1615.6,10.2% on 19.5x volume,79.23,3.78,6,6,3.16,6.91,6.66,0.4421,HIGH,AVOID,9.36,7.45,2,131,0.4036,221,248,-3.45,0.82,-4.27,-2.25,4.76,-7.01,-2.01,3.41,-5.42,0.09,4.98,-4.89,4.43,10.02,-5.59,4.76,-6.38,4.76,-6.38,4.76,-6.38,False,False,True,False,False
2025-03-21,JWL,MOMENTUM_BURST,347.9,159.01,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",14.84,10.72,347.9,14.8% on 10.7x volume,70.64,3.19,6,6,2.2,-7.15,5.14,0.0388,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.93,1.23,3.7,6.41,-0.9,7.31,6.14,-0.29,6.43,6.97,-6.31,13.28,10.2,4.68,5.52,9.8,1.67,10.16,1.67,10.16,-10.61,False,False,True,True,True
2025-03-21,UNIONBANK,MOMENTUM_BURST,122.52,6.53,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.1,1.59,122.52,4.1% on 1.6x volume,87.17,0.98,6,8,3.18,2.83,1.36,0.1234,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.03,1.23,2.8,-1.89,-0.9,-0.99,2.99,-0.29,3.28,-3.75,-6.31,2.56,4.9,4.68,0.22,4.95,-2.18,4.95,-2.33,8.46,-8.16,False,False,True,False,True
2025-06-02,KARURVYSYA,MOMENTUM_BURST,239.66,49.69,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7.79,6.38,239.66,7.8% on 6.4x volume,90.71,3.13,6,9,2.07,4.18,2.07,0.5989,HIGH,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,-1.68,-0.26,-1.42,-3.37,0.78,-4.15,-1.06,2.56,-3.62,3.71,0.97,2.74,11.63,3.2,8.43,0.75,-4.87,0.75,-4.87,5.77,-4.87,False,False,False,False,False
2025-06-03,PRESTIGE,MOMENTUM_BURST,1584.6,19.06,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",5.58,3.42,1584.6,5.6% on 3.4x volume,87.78,1.2,6,7,2.32,5.58,2.68,0.8285,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-0.19,0.48,-0.67,8.2,1.75,6.45,4.99,3.01,1.98,6.95,0.57,6.38,3.31,3.26,0.05,9.33,-0.76,10.73,-0.76,10.73,-0.76,False,False,True,True,True
2025-06-03,CUB,MOMENTUM_BURST,202.28,11.04,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.09,2.7,202.28,4.1% on 2.7x volume,72.7,1.32,6,10,1.0,9.97,1.34,0.6946,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-2.23,0.48,-2.71,-0.55,1.75,-2.3,1.97,3.01,-1.04,-4.68,0.57,-5.25,13.96,3.26,10.7,0.85,-3.2,3.03,-3.2,3.03,-6.91,False,False,False,False,False
2025-01-31,RVNL,MOMENTUM_BURST,476.3,53.93,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",16.84,3.2,476.3,16.8% on 3.2x volume,88.51,2.34,6,3,6.4,,7.15,0.2414,HIGH,AVOID,42.49,21.24,4,7,0.9207,385,81,-8.98,0.1,-9.08,-16.0,-0.14,-15.86,-15.38,0.49,-15.87,-20.37,-5.09,-15.28,-30.21,-11.31,-18.9,5.35,-17.13,5.35,-17.13,5.35,-28.2,False,False,True,True,False
2025-03-03,NH,MOMENTUM_BURST,1615.6,199.63,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",10.24,19.5,1615.6,10.2% on 19.5x volume,79.23,3.78,6,6,3.16,6.91,6.66,0.4421,HIGH,AVOID,9.36,7.45,2,131,0.4036,221,248,-3.45,0.82,-4.27,-2.25,4.76,-7.01,-2.01,3.41,-5.42,0.09,4.98,-4.89,4.43,10.02,-5.59,4.76,-6.38,4.76,-6.38,4.76,-6.38,False,False,True,False,False
2025-03-21,JWL,MOMENTUM_BURST,347.9,159.01,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",14.84,10.72,347.9,14.8% on 10.7x volume,70.64,3.19,6,6,2.2,-7.15,5.14,0.0388,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.93,1.23,3.7,6.41,-0.9,7.31,6.14,-0.29,6.43,6.97,-6.31,13.28,10.2,4.68,5.52,9.8,1.67,10.16,1.67,10.16,-10.61,False,False,True,True,True
2025-03-21,UNIONBANK,MOMENTUM_BURST,122.52,6.53,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.1,1.59,122.52,4.1% on 1.6x volume,87.17,0.98,6,8,3.18,2.83,1.36,0.1234,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.03,1.23,2.8,-1.89,-0.9,-0.99,2.99,-0.29,3.28,-3.75,-6.31,2.56,4.9,4.68,0.22,4.95,-2.18,4.95,-2.33,8.46,-8.16,False,False,True,False,True
2025-06-02,KARURVYSYA,MOMENTUM_BURST,239.66,49.69,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7.79,6.38,239.66,7.8% on 6.4x volume,90.71,3.13,6,9,2.07,4.18,2.07,0.5989,HIGH,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,-1.68,-0.26,-1.42,-3.37,0.78,-4.15,-1.06,2.56,-3.62,3.71,0.97,2.74,11.63,3.2,8.43,0.75,-4.87,0.75,-4.87,5.77,-4.87,False,False,False,False,False
2025-06-03,PRESTIGE,MOMENTUM_BURST,1584.6,19.06,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",5.58,3.42,1584.6,5.6% on 3.4x volume,87.78,1.2,6,7,2.32,5.58,2.68,0.8285,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-0.19,0.48,-0.67,8.2,1.75,6.45,4.99,3.01,1.98,6.95,0.57,6.38,3.31,3.26,0.05,9.33,-0.76,10.73,-0.76,10.73,-0.76,False,False,True,True,True
2025-06-03,CUB,MOMENTUM_BURST,202.28,11.04,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.09,2.7,202.28,4.1% on 2.7x volume,72.7,1.32,6,10,1.0,9.97,1.34,0.6946,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-2.23,0.48,-2.71,-0.55,1.75,-2.3,1.97,3.01,-1.04,-4.68,0.57,-5.25,13.96,3.26,10.7,0.85,-3.2,3.03,-3.2,3.03,-6.91,False,False,False,False,False
2025-01-31,RVNL,MOMENTUM_BURST,476.3,53.93,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",16.84,3.2,476.3,16.8% on 3.2x volume,88.51,2.34,6,3,6.4,,7.15,0.2414,HIGH,AVOID,42.49,21.24,4,7,0.9207,385,81,-8.98,0.1,-9.08,-16.0,-0.14,-15.86,-15.38,0.49,-15.87,-20.37,-5.09,-15.28,-30.21,-11.31,-18.9,5.35,-17.13,5.35,-17.13,5.35,-28.2,False,False,True,True,False
2025-03-03,NH,MOMENTUM_BURST,1615.6,199.63,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",10.24,19.5,1615.6,10.2% on 19.5x volume,79.23,3.78,6,6,3.16,6.91,6.66,0.4421,HIGH,AVOID,9.36,7.45,2,131,0.4036,221,248,-3.45,0.82,-4.27,-2.25,4.76,-7.01,-2.01,3.41,-5.42,0.09,4.98,-4.89,4.43,10.02,-5.59,4.76,-6.38,4.76,-6.38,4.76,-6.38,False,False,True,False,False
2025-03-21,JWL,MOMENTUM_BURST,347.9,159.01,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",14.84,10.72,347.9,14.8% on 10.7x volume,70.64,3.19,6,6,2.2,-7.15,5.14,0.0388,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.93,1.23,3.7,6.41,-0.9,7.31,6.14,-0.29,6.43,6.97,-6.31,13.28,10.2,4.68,5.52,9.8,1.67,10.16,1.67,10.16,-10.61,False,False,True,True,True
2025-03-21,UNIONBANK,MOMENTUM_BURST,122.52,6.53,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.1,1.59,122.52,4.1% on 1.6x volume,87.17,0.98,6,8,3.18,2.83,1.36,0.1234,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.03,1.23,2.8,-1.89,-0.9,-0.99,2.99,-0.29,3.28,-3.75,-6.31,2.56,4.9,4.68,0.22,4.95,-2.18,4.95,-2.33,8.46,-8.16,False,False,True,False,True
2025-06-02,KARURVYSYA,MOMENTUM_BURST,239.66,49.69,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7.79,6.38,239.66,7.8% on 6.4x volume,90.71,3.13,6,9,2.07,4.18,2.07,0.5989,HIGH,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,-1.68,-0.26,-1.42,-3.37,0.78,-4.15,-1.06,2.56,-3.62,3.71,0.97,2.74,11.63,3.2,8.43,0.75,-4.87,0.75,-4.87,5.77,-4.87,False,False,False,False,False
2025-06-03,PRESTIGE,MOMENTUM_BURST,1584.6,19.06,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",5.58,3.42,1584.6,5.6% on 3.4x volume,87.78,1.2,6,7,2.32,5.58,2.68,0.8285,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-0.19,0.48,-0.67,8.2,1.75,6.45,4.99,3.01,1.98,6.95,0.57,6.38,3.31,3.26,0.05,9.33,-0.76,10.73,-0.76,10.73,-0.76,False,False,True,True,True
2025-06-03,CUB,MOMENTUM_BURST,202.28,11.04,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",4.09,2.7,202.28,4.1% on 2.7x volume,72.7,1.32,6,10,1.0,9.97,1.34,0.6946,HIGH,DEFENSIVE,64.56,77.64,14,1,0.1055,171,301,-2.23,0.48,-2.71,-0.55,1.75,-2.3,1.97,3.01,-1.04,-4.68,0.57,-5.25,13.96,3.26,10.7,0.85,-3.2,3.03,-3.2,3.03,-6.91,False,False,False,False,False
2025-01-31,RVNL,MOMENTUM_BURST,476.3,53.93,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",16.84,3.2,476.3,16.8% on 3.2x volume,88.51,2.34,6,3,6.4,,7.15,0.2414,HIGH,AVOID,42.49,21.24,4,7,0.9207,385,81,-8.98,0.1,-9.08,-16.0,-0.14,-15.86,-15.38,0.49,-15.87,-20.37,-5.09,-15.28,-30.21,-11.31,-18.9,5.35,-17.13,5.35,-17.13,5.35,-28.2,False,False,True,True,False
2025-03-03,NH,MOMENTUM_BURST,1615.6,199.63,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",10.24,19.5,1615.6,10.2% on 19.5x volume,79.23,3.78,6,6,3.16,6.91,6.66,0.4421,HIGH,AVOID,9.36,7.45,2,131,0.4036,221,248,-3.45,0.82,-4.27,-2.25,4.76,-7.01,-2.01,3.41,-5.42,0.09,4.98,-4.89,4.43,10.02,-5.59,4.76,-6.38,4.76,-6.38,4.76,-6.38,False,False,True,False,False
2025-03-21,JWL,MOMENTUM_BURST,347.9,159.01,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",14.84,10.72,347.9,14.8% on 10.7x volume,70.64,3.19,6,6,2.2,-7.15,5.14,0.0388,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.93,1.23,3.7,6.41,-0.9,7.31,6.14,-0.29,6.43,6.97,-6.31,13.28,10.2,4.68,5.52,9.8,1.67,10.16,1.67,10.16,-10.61,False,False,True,True,True
2025-03-21,UNIONBANK,MOMENTUM_BURST,122.52,6.53,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",4.1,1.59,122.52,4.1% on 1.6x volume,87.17,0.98,6,8,3.18,2.83,1.36,0.1234,HIGH,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.03,1.23,2.8,-1.89,-0.9,-0.99,2.99,-0.29,3.28,-3.75,-6.31,2.56,4.9,4.68,0.22,4.95,-2.18,4.95,-2.33,8.46,-8.16,False,False,True,False,True
2025-06-02,KARURVYSYA,MOMENTUM_BURST,239.66,49.69,detect_momentum_burst,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",7.79,6.38,239.66,7.8% on 6.4x volume,90.71,3.13,6,9,2.07,4.18,2.07,0.5989,HIGH,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,-1.68,-0.26,-1.42,-3.37,0.78,-4.15,-1.06,2.56,-3.62,3.71,0.97,2.74,11.63,3.2,8.43,0.75,-4.87,0.75,-4.87,5.77,-4.87,False,False,False,False,False
